step,training_loss
1,1.877800
2,1.990000
3,1.808300
4,1.582800
5,1.333800
6,1.011400
7,0.905100
8,0.635100
9,0.545400
10,0.585700
11,0.605400
12,0.270900
13,0.226000
14,0.283400
15,0.359800
16,0.236900
17,0.373900
18,0.152300
19,0.174400
20,0.285900
21,0.245200
22,0.089500
23,0.153800
24,0.129800
25,0.100400
26,0.081400
27,0.080500
28,0.049900
29,0.048000
30,0.064300
31,0.048700
32,0.040500
33,0.030800
34,0.032200
35,0.032400
36,0.030600
37,0.028200
38,0.024500
39,0.032500
40,0.021300
41,0.019600
42,0.022500
43,0.020100
44,0.020500
45,0.018000
46,0.016900
47,0.013800
48,0.015800
49,0.013000
50,0.011300
51,0.010700
52,0.013300
53,0.009100
54,0.011000
55,0.009700
56,0.008100
57,0.010100
58,0.009000
59,0.008800
60,0.009100
61,0.009500
62,0.011000
63,0.008500
64,0.008300
65,0.010800
66,0.009800
67,0.009100
68,0.008600
69,0.008900
70,0.006800
71,0.009100
72,0.009500
73,0.008600
74,0.008000
75,0.009200
76,0.008100
77,0.008000
78,0.007800
79,0.007500
80,0.007800
81,0.008700
82,0.007400
83,0.007400
84,0.008300
85,0.010000
86,0.007200
87,0.007900
88,0.009000
89,0.008500
90,0.007200
91,0.008400
92,0.007600
93,0.007700
94,0.007200
95,0.007100
96,0.007000
97,0.008700
98,0.008400
99,0.007700
100,0.007600
101,0.007300
102,0.008200
103,0.008100
104,0.007600
105,0.007700
106,0.007300
107,0.007700
108,0.007600
109,0.006600
110,0.008800
111,0.007100
112,0.007800
113,0.008300
114,0.006800
115,0.007000
116,0.007300
117,0.008200
118,0.007400
119,0.007300
120,0.008100
121,0.008000
122,0.008200
123,0.006800
124,0.007400
125,0.006900
126,0.008000
127,0.006900
128,0.006700
129,0.007900
130,0.007300
131,0.007000
132,0.006800
133,0.007700
134,0.007300
135,0.006800
136,0.007700
137,0.008400
138,0.007400
139,0.006900
140,0.006800
141,0.007400
142,0.007200
143,0.007900
144,0.007200
145,0.007400
146,0.007400
147,0.007200
148,0.007800
149,0.006600
150,0.007700
151,0.006700
152,0.007500
153,0.007800
154,0.006900
155,0.006900
156,0.008100
157,0.006600
158,0.007600
159,0.006900
160,0.007400
161,0.007200
162,0.007300
163,0.007000
164,0.007000
165,0.007500
166,0.007600
167,0.007600
168,0.007200
169,0.006400
170,0.007100
171,0.006700
172,0.007500
173,0.007100
174,0.007800
175,0.006400
176,0.007600
177,0.007600
178,0.006400
179,0.007300
180,0.007400
181,0.007100
182,0.007100
183,0.006500
184,0.007000
185,0.007600
186,0.007500
187,0.007500
188,0.007000
189,0.006900
190,0.007100
191,0.006800
192,0.007500
193,0.006500
194,0.006700
195,0.008100
196,0.006200
197,0.007400
198,0.007700
199,0.007400
200,0.006700
201,0.007500
202,0.007400
203,0.007300
204,0.006600
205,0.007000
206,0.006800
207,0.007300
208,0.007200
209,0.007100
210,0.006800
211,0.007100
212,0.007400
213,0.007200
214,0.006400
215,0.007100
216,0.007200
217,0.007400
218,0.007000
219,0.006400
220,0.007200
221,0.007400
222,0.007600
223,0.006600
224,0.006800
225,0.006900
226,0.007300
227,0.007000
228,0.007000
229,0.006800
230,0.007100
231,0.007300
232,0.007300
233,0.006300
234,0.007400
235,0.006800
236,0.007400
237,0.006700
238,0.006900
239,0.007300
240,0.006800
241,0.007200
242,0.005900
243,0.007500
244,0.007300
245,0.007400
246,0.006700
247,0.007000
248,0.007100
249,0.007400
250,0.006300